"TOA5","EKO_MS80_1","CR300","16466","CR310.Std.10.07","CPU:08_10_25_adams.cr300","26933","IPC_DNI"
"TIMESTAMP","RECORD","DNI","Vraw_mV","BattV","PTemp_C","Vraw_mV_Adam"
"TS","RN","W/m^2","mV","Volts","Deg C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2025-10-08 10:28:30",0,956.2222,6398.118,13.80304,17.52243,7755.903
"2025-10-08 10:30:00",1,957.3345,6400.128,13.8028,17.61515,7769.151
"2025-10-08 10:31:30",2,957.7286,6408.506,13.80183,17.68116,7800.047
"2025-10-08 10:33:00",3,958.5203,6409.913,13.80231,17.81593,7802.236
"2025-10-08 10:34:30",4,958.1295,6415.319,13.7999,17.90898,7807.531
"2025-10-08 10:36:00",5,960.3641,6413.89,13.80087,18.02675,7814.88
"2025-10-08 10:37:30",6,960.1937,6424.747,13.80424,18.11837,7821.761
"2025-10-08 10:39:00",7,960.1035,6425.171,13.72337,18.20501,7824.665
"2025-10-08 10:40:30",8,960.8384,6426.757,13.80352,18.33515,7827.882
"2025-10-08 10:42:00",9,961.5866,6428.835,13.77142,18.41661,7828.128
"2025-10-08 10:43:30",10,962.7624,6439.424,13.77334,18.50867,7837.063
"2025-10-08 10:45:00",11,963.3569,6443.557,13.77166,18.63549,7839.543
"2025-10-08 10:46:30",12,963.2434,6444.875,13.77479,18.71695,7849.306
"2025-10-08 10:48:00",13,964.5962,6449.343,13.77262,18.83472,7853.372
"2025-10-08 10:49:30",14,964.5962,6452.247,13.77552,18.94058,7854.288
"2025-10-08 10:51:00",15,1.910634,11.66133,13.77455,19.01464,7856.879
"2025-10-08 10:52:30",16,939.9985,6280.008,13.77455,19.13275,7742.768
"2025-10-08 10:54:00",17,943.1851,6304.224,13.77383,19.21531,7768.212
"2025-10-08 10:55:30",18,955.4906,6386.345,13.77504,19.33628,7872.204
"2025-10-08 10:57:00",19,955.8313,6394.7,13.77624,19.44082,7872.383
"2025-10-08 10:58:30",20,955.858,6405.825,13.68668,19.52481,7871.601
"2025-10-08 11:00:00",21,956.4493,6396.732,13.7748,19.65153,7880.246
"2025-10-08 11:01:30",22,957.6551,6404.239,13.74655,19.73498,7883.597
"2025-10-08 11:03:00",23,957.1808,6402.519,13.74534,19.84094,7884.044
"2025-10-08 11:04:30",24,958.2731,6407.344,13.74486,19.95662,7890.232
"2025-10-08 11:06:00",25,958.6539,6412.482,13.74728,20.05154,7890.277
"2025-10-08 11:07:30",26,959.3486,6413.666,13.74534,20.17407,7893.337
"2025-10-08 11:09:00",27,959.4054,6417.084,13.74679,20.28191,7899.012
"2025-10-08 11:10:30",28,959.9699,6421.172,13.74872,20.35453,7903.033
"2025-10-08 11:12:00",29,961.1992,6423.451,13.74583,20.4945,7905.401
"2025-10-08 11:13:30",30,961.8405,6429.036,13.74728,20.57607,7909.02
"2025-10-08 11:15:00",31,964.6162,6446.327,13.71735,20.68799,7909.131
"2025-10-08 11:16:30",32,965.1807,6455.933,13.71686,20.7966,7917.598
"2025-10-08 11:18:00",33,964.9603,6456.692,13.79725,20.87387,7922.915
"2025-10-08 11:19:30",34,965.7085,6454.883,13.71831,21.03303,7923.139
"2025-10-08 11:21:00",35,966.0893,6459.284,13.74896,21.09397,7922.714
"2025-10-08 11:22:30",36,966.1929,6460.736,13.71831,21.18161,7925.171
"2025-10-08 11:24:00",37,965.5448,6461.361,13.71831,21.30677,7925.976
"2025-10-08 11:25:30",38,965.2442,6458.569,13.71904,21.39419,7926.914
"2025-10-08 11:27:00",39,966.6237,6465.003,13.72073,21.51892,7930.935
"2025-10-08 11:28:30",40,967.1649,6472.129,13.71952,21.60612,7931.851
"2025-10-08 11:30:00",41,967.9866,6476.352,13.71976,21.66606,7935.023
"2025-10-08 11:31:30",42,961.5732,6436.631,13.72169,21.78438,7905.133
"2025-10-08 11:33:00",43,966.3365,6463.439,13.72121,21.87788,7937.749
"2025-10-08 11:34:30",44,966.7273,6468.354,13.69103,21.97644,7942.083
"2025-10-08 11:36:00",45,968.7181,6469.828,13.68982,22.07027,7949.165
"2025-10-08 11:37:30",46,966.9177,6468.153,13.60098,22.1504,7946.215
"2025-10-08 11:39:00",47,968.1703,6472.554,13.69079,22.27789,7948.517
"2025-10-08 11:40:30",48,968.9886,6480.082,13.69151,22.32966,7954.705
"2025-10-08 11:42:00",49,969.4062,6480.104,13.69296,22.41983,7957.497
"2025-10-08 11:43:30",50,968.7949,6481.78,13.69103,22.54677,7958.056
"2025-10-08 11:45:00",51,969.7101,6482.606,13.69224,22.59766,7962.367
"2025-10-08 11:46:30",52,968.7381,6480.774,13.66422,22.72194,7961.607
"2025-10-08 11:48:00",53,969.7335,6488.683,13.66447,22.79336,7964.69
"2025-10-08 11:49:30",54,970.2646,6483.344,13.66326,22.84303,7964.467
"2025-10-08 11:51:00",55,970.0709,6488.236,13.66543,22.97261,7967.327
"2025-10-08 11:52:30",56,970.2847,6492.659,13.66495,23.02692,7967.349
"2025-10-08 11:54:00",57,969.7569,6485.779,13.66278,23.12449,7964.042
"2025-10-08 11:55:30",58,970.4183,6491.922,13.66229,23.20087,7969.426
"2025-10-08 11:57:00",59,970.7991,6493.821,13.72362,23.24889,7969.382
"2025-10-08 11:58:30",60,970.6989,6487.164,13.6635,23.35629,7970.342
"2025-10-08 12:00:00",61,971.2233,6497.574,13.66447,23.42881,7969.538
"2025-10-08 12:01:30",62,970.5319,6488.348,13.66471,23.48908,7966.835
"2025-10-08 12:03:00",63,971.1164,6494.179,13.66567,23.59228,7970.141
"2025-10-08 12:04:30",64,970.936,6492.079,13.66688,23.64758,7968.756
"2025-10-08 12:06:00",65,970.926,6489.733,13.66543,23.75343,7969.784
"2025-10-08 12:07:30",66,970.7356,6492.548,13.66519,23.80056,7971.102
"2025-10-08 12:09:00",67,970.8057,6493.396,13.66616,23.87198,7973.515
"2025-10-08 12:10:30",68,971.1364,6493.888,13.66664,23.97949,7971.459
"2025-10-08 12:12:00",69,970.612,6490.939,13.66688,24.03358,7969.627
"2025-10-08 12:13:30",70,970.6053,6489.509,13.6664,24.12078,7971.996
"2025-10-08 12:15:00",71,971.0229,6496.033,13.6664,24.18203,7971.459
"2025-10-08 12:16:30",72,969.924,6491.811,13.61522,24.23668,7971.75
"2025-10-08 12:18:00",73,970.9127,6490.626,13.66471,24.34297,7972.666
