"TOA5","EKO_MS80_1","CR300","16466","CR310.Std.10.07","CPU:08_10_25_adams.cr300","26933","IPC_DNI"
"TIMESTAMP","RECORD","DNI","Vraw_mV","BattV","PTemp_C","Vraw_mV_Adam"
"TS","RN","W/m^2","mV","Volts","Deg C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2025-10-10 09:28:30",267,662.2952,4430.904,13.88971,13.36214,4106.085
"2025-10-10 09:30:00",268,711.7479,4759.812,13.8873,13.43112,4460.929
"2025-10-10 09:31:30",269,680.6466,4551.963,13.88657,13.46566,4219.124
"2025-10-10 09:33:00",270,656.5466,4391.274,13.88802,13.49735,4134.054
"2025-10-10 09:34:30",271,604.7991,4048.002,13.91989,13.57881,3840.801
"2025-10-10 09:36:00",272,559.7723,3743.69,13.88754,13.61799,3545.202
"2025-10-10 09:37:30",273,601.8764,4024.299,13.88875,13.67319,3860.527
"2025-10-10 09:39:00",274,590.2155,3947.026,13.88826,13.73235,3778.763
"2025-10-10 09:40:30",275,538.0172,3599.71,13.8465,13.76678,3470.676
"2025-10-10 09:42:00",276,491.9548,3290.261,13.88899,13.85222,3185.688
"2025-10-10 09:43:30",277,568.4036,3804.677,13.88995,13.88103,3727.315
"2025-10-10 09:45:00",278,561.2687,3752.537,13.89044,13.95432,3761.517
"2025-10-10 09:46:30",279,469.4481,3137.435,13.88947,14.02794,3188.771
"2025-10-10 09:48:00",280,499.604,3338.381,13.92182,14.06812,3411.498
"2025-10-10 09:49:30",281,495.4888,3317.202,13.89044,14.15631,3308.691
"2025-10-10 09:51:00",282,542.1858,3622.43,13.89044,14.20466,3611.908
"2025-10-10 09:52:30",283,555.7506,3717.821,13.88923,14.23866,3695.995
"2025-10-10 09:54:00",284,581.8715,3893.232,13.89116,14.33778,3881.95
"2025-10-10 09:55:30",285,592.3265,3962.485,13.89068,14.37431,3979.307
"2025-10-10 09:57:00",286,592.7474,3971.22,13.86002,14.4295,4037.725
"2025-10-10 09:58:30",287,594.9888,3980.223,13.85857,14.48988,4022.088
"2025-10-10 10:00:00",288,638.4457,4267.266,13.92544,14.54142,4237.845
"2025-10-10 10:01:30",289,726.278,4858.822,13.82864,14.66902,4870.773
"2025-10-10 10:03:00",290,730.0458,4882.993,13.82502,14.70257,4954.436
"2025-10-10 10:04:30",291,734.288,4911.812,13.8284,14.76086,4995.295
"2025-10-10 10:06:00",292,708.6213,4740.935,13.82574,14.85512,4941.814
"2025-10-10 10:07:30",293,670.0079,4477.505,13.82888,14.88526,4666.298
"2025-10-10 10:09:00",294,648.2627,4331.917,13.82816,14.98382,4415.133
"2025-10-10 10:10:30",295,678.9731,4540.347,13.82695,15.02754,4695.317
"2025-10-10 10:12:00",296,721.752,4828.484,13.82526,15.09079,4984.55
"2025-10-10 10:13:30",297,593.2084,3966.372,13.85881,15.18924,4038.351
"2025-10-10 10:15:00",298,698.0327,4670.855,13.85954,15.23262,4796.405
"2025-10-10 10:16:30",299,672.0788,4490.998,13.8593,15.31904,4835.723
"2025-10-10 10:18:00",300,698.1964,4668.51,13.8593,15.38207,4929.192
"2025-10-10 10:19:30",301,697.9359,4667.169,13.92641,15.43561,5069.016
"2025-10-10 10:21:00",302,629.4336,4210.992,13.86099,15.56497,4629.728
"2025-10-10 10:22:30",303,560.4871,3748.247,13.85954,15.61056,4098.757
"2025-10-10 10:24:00",304,522.545,3497.774,13.86123,15.66056,3785.979
"2025-10-10 10:25:30",305,500.4825,3347.629,13.82888,15.75813,3718.469
"2025-10-10 10:27:00",306,427.9386,2863.192,13.8284,15.80284,3174.72
"2025-10-10 10:28:30",307,485.0772,3246.877,13.83154,15.89931,3614.745
"2025-10-10 10:30:00",308,527.846,3529.742,13.83009,15.95372,4105.348
"2025-10-10 10:31:30",309,513.2824,3431.895,13.82936,16.00869,3872.344
"2025-10-10 10:33:00",310,557.6846,3728.521,13.83009,16.12227,4510.836
"2025-10-10 10:34:30",311,564.9664,3780.037,13.83081,16.17967,4566.238
"2025-10-10 10:36:00",312,500.379,3344.569,13.8296,16.28784,4079.657
"2025-10-10 10:37:30",313,445.2846,2976.969,13.83009,16.37328,3624.82
"2025-10-10 10:39:00",314,525.6281,3512.809,13.90661,16.43299,4260.899
"2025-10-10 10:40:30",315,478.8008,3206.509,13.79773,16.54922,3867.787
"2025-10-10 10:42:00",316,376.7155,2517.731,13.80062,16.62185,3043.161
"2025-10-10 10:43:30",317,196.5882,1314.268,13.7999,16.71501,1614.782
"2025-10-10 10:45:00",318,209.7121,1401.058,13.80256,16.81468,1700.231
"2025-10-10 10:46:30",319,187.1887,1252.856,13.80062,16.87175,1480.699
"2025-10-10 10:48:00",320,267.2082,1786.641,13.80038,16.96513,2059.856
"2025-10-10 10:49:30",321,266.9777,1785.413,13.80087,17.03367,2117.224
"2025-10-10 10:51:00",322,326.0436,2181.138,13.80207,17.08125,2588.615
"2025-10-10 10:52:30",323,481.2559,3217.366,13.83371,17.19074,3928.864
"2025-10-10 10:54:00",324,450.4152,3012.98,13.80256,17.23776,3659.469
"2025-10-10 10:55:30",325,317.9135,2124.083,13.80087,17.29505,2602.488
"2025-10-10 10:57:00",326,283.2147,1892.375,13.80304,17.36636,2290.447
"2025-10-10 10:58:30",327,275.7258,1843.295,13.76176,17.40454,2131.902
"2025-10-10 11:00:00",328,363.7887,2433.153,13.80159,17.49417,2815.452
"2025-10-10 11:01:30",329,393.0628,2631.686,13.80207,17.52464,3081.809
"2025-10-10 11:03:00",330,576.33,3856.483,13.80256,17.56912,4408.565
"2025-10-10 11:04:30",331,619.336,4146.028,13.80135,17.63766,4847.965
"2025-10-10 11:06:00",332,499.1331,3338.023,13.80256,17.67663,3921.76
"2025-10-10 11:07:30",333,540.3887,3614.321,13.80231,17.75246,4275.599
"2025-10-10 11:09:00",334,610.0133,4081.891,13.8028,17.78304,4919.519
"2025-10-10 11:10:30",335,620.3447,4149.357,13.80135,17.8124,4933.861
"2025-10-10 11:12:00",336,667.2689,4460.683,13.80183,17.90688,5435.209
"2025-10-10 11:13:30",337,627.1121,4192.853,13.80159,17.93094,5072.054
"2025-10-10 11:15:00",338,688.3326,4599.882,13.80473,17.98282,5597.417
"2025-10-10 11:16:30",339,704.5062,4712.43,13.8028,18.03382,5739.789
"2025-10-10 11:18:00",340,664.944,4447.101,13.73931,18.06516,5403.486
"2025-10-10 11:19:30",341,680.6633,4552.165,13.77166,18.1219,5535.537
"2025-10-10 11:21:00",342,702.2949,4699.629,13.77286,18.16208,5678.354
"2025-10-10 11:22:30",343,717.2827,4800.135,13.77431,18.19254,5844.361
"2025-10-10 11:24:00",344,711.3737,4760.639,13.77528,18.23769,5784.781
"2025-10-10 11:25:30",345,758.7889,5072.858,13.77117,18.25854,6199.719
"2025-10-10 11:27:00",346,883.097,5900.97,13.77359,18.34155,7171.429
"2025-10-10 11:28:30",347,922.0011,6165.918,13.7731,18.37963,7490.932
