Thu Oct 02 16:34:24 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
02-10-2025 16:44:12.564,879.61,14.42
02-10-2025 16:44:13.574,879.68,14.41
02-10-2025 16:44:14.582,880.03,14.38
02-10-2025 16:44:15.585,880.06,14.37
02-10-2025 16:44:16.591,880.19,14.35
02-10-2025 16:44:17.612,880.11,14.35
02-10-2025 16:44:18.613,880.12,14.37
02-10-2025 16:44:19.616,879.85,14.37
02-10-2025 16:44:20.618,879.79,14.36
02-10-2025 16:44:21.620,879.98,14.34
02-10-2025 16:44:22.622,879.97,14.34
02-10-2025 16:44:23.624,880.08,14.33
02-10-2025 16:44:24.627,880.13,14.32
02-10-2025 16:44:25.629,880.07,14.34
02-10-2025 16:44:26.632,879.86,14.32
02-10-2025 16:44:27.645,879.74,14.31
02-10-2025 16:44:28.646,879.52,14.32
02-10-2025 16:44:29.647,879.27,14.31
02-10-2025 16:44:30.647,879.32,14.31
02-10-2025 16:44:31.651,879.36,14.32
02-10-2025 16:44:32.653,879.49,14.32
02-10-2025 16:44:33.656,879.43,14.30
02-10-2025 16:44:34.659,879.53,14.29
02-10-2025 16:44:35.661,879.49,14.29
02-10-2025 16:44:36.663,879.17,14.29
02-10-2025 16:44:37.664,878.51,14.31
02-10-2025 16:44:38.666,878.20,14.31
02-10-2025 16:44:39.667,878.81,14.29
02-10-2025 16:44:40.673,878.73,14.29
02-10-2025 16:44:41.678,878.77,14.29
02-10-2025 16:44:42.680,879.12,14.30
02-10-2025 16:44:43.726,879.36,14.29
02-10-2025 16:44:44.732,879.60,14.28
02-10-2025 16:44:45.733,879.52,14.28
02-10-2025 16:44:46.735,879.02,14.28
02-10-2025 16:44:47.737,878.94,14.28
02-10-2025 16:44:48.739,879.11,14.28
02-10-2025 16:44:49.742,878.82,14.28
02-10-2025 16:44:50.742,878.50,14.27
02-10-2025 16:44:51.756,878.58,14.28
02-10-2025 16:44:52.757,878.82,14.28
02-10-2025 16:44:53.761,879.09,14.29
02-10-2025 16:44:54.765,879.12,14.29
02-10-2025 16:44:55.766,878.88,14.28
02-10-2025 16:44:56.769,878.91,14.26
02-10-2025 16:44:57.777,878.75,14.25
02-10-2025 16:44:58.782,878.52,14.25
02-10-2025 16:44:59.784,878.56,14.24
02-10-2025 16:45:00.790,878.49,14.25
02-10-2025 16:45:01.792,878.59,14.24
02-10-2025 16:45:02.793,878.16,14.24
02-10-2025 16:45:03.796,878.10,14.24
02-10-2025 16:45:04.799,878.31,14.21
02-10-2025 16:45:05.800,877.88,14.23
02-10-2025 16:45:06.801,877.90,14.21
02-10-2025 16:45:07.809,877.80,14.22
02-10-2025 16:45:08.812,877.89,14.21
02-10-2025 16:45:09.812,877.67,14.20
02-10-2025 16:45:10.822,878.02,14.19
02-10-2025 16:45:11.823,878.03,14.17
02-10-2025 16:45:12.825,877.65,14.17
02-10-2025 16:45:13.828,877.47,14.18
02-10-2025 16:45:14.829,877.07,14.17
02-10-2025 16:45:15.831,876.80,14.20
02-10-2025 16:45:16.834,876.88,14.20
02-10-2025 16:45:17.836,876.88,14.18
02-10-2025 16:45:18.840,876.56,14.18
02-10-2025 16:45:19.842,876.62,14.18
02-10-2025 16:45:20.854,875.95,14.18
02-10-2025 16:45:21.856,875.71,14.17
02-10-2025 16:45:22.864,875.50,14.17
02-10-2025 16:45:23.866,875.77,14.15
02-10-2025 16:45:24.871,876.07,14.16
02-10-2025 16:45:25.881,875.77,14.18
02-10-2025 16:45:26.884,875.56,14.18
02-10-2025 16:45:27.885,875.31,14.20
02-10-2025 16:45:28.888,874.97,14.18
02-10-2025 16:45:29.889,874.91,14.18
02-10-2025 16:45:30.893,875.54,14.17
02-10-2025 16:45:31.896,874.92,14.17
02-10-2025 16:45:32.906,874.70,14.15
02-10-2025 16:45:33.916,874.87,14.14
02-10-2025 16:45:34.918,874.69,14.14
02-10-2025 16:45:35.919,874.11,14.11
02-10-2025 16:45:36.923,874.24,14.13
02-10-2025 16:45:37.925,874.27,14.14
02-10-2025 16:45:38.935,873.98,14.13
02-10-2025 16:45:39.937,874.03,14.14
02-10-2025 16:45:40.938,874.59,14.12
02-10-2025 16:45:41.942,874.51,14.11
02-10-2025 16:45:42.945,874.18,14.13
02-10-2025 16:45:43.948,874.61,14.12
02-10-2025 16:45:44.966,874.29,14.12
02-10-2025 16:45:45.968,873.98,14.10
02-10-2025 16:45:46.971,873.59,14.09
02-10-2025 16:45:47.974,873.55,14.11
02-10-2025 16:45:48.976,873.51,14.11
02-10-2025 16:45:49.980,873.25,14.12
02-10-2025 16:45:50.982,873.70,14.12
02-10-2025 16:45:51.988,874.16,14.10
02-10-2025 16:45:53.004,874.07,14.09
02-10-2025 16:45:54.012,873.41,14.09
02-10-2025 16:45:55.022,873.60,14.09
02-10-2025 16:45:56.022,872.97,14.08
02-10-2025 16:45:57.023,872.94,14.08
02-10-2025 16:45:58.026,873.30,14.07
02-10-2025 16:45:59.029,873.81,14.07
02-10-2025 16:46:00.032,873.55,14.08
02-10-2025 16:46:01.033,873.43,14.07
02-10-2025 16:46:02.035,872.47,14.07
02-10-2025 16:46:03.044,872.38,14.08
02-10-2025 16:46:04.052,872.53,14.07
02-10-2025 16:46:05.056,871.69,14.07
02-10-2025 16:46:06.068,871.44,14.06
02-10-2025 16:46:07.073,871.93,14.06
02-10-2025 16:46:08.092,871.86,14.06
02-10-2025 16:46:09.094,872.07,14.06
02-10-2025 16:46:10.097,871.90,14.07
02-10-2025 16:46:11.100,871.88,14.07
02-10-2025 16:46:12.101,872.31,14.03
02-10-2025 16:46:13.102,872.39,14.03
02-10-2025 16:46:14.105,872.52,14.03
02-10-2025 16:46:15.108,872.37,14.00
02-10-2025 16:46:16.112,872.02,14.02
02-10-2025 16:46:17.115,871.66,14.03
02-10-2025 16:46:18.120,871.97,14.03
02-10-2025 16:46:19.125,872.16,14.03
02-10-2025 16:46:20.126,871.96,14.03
02-10-2025 16:46:21.128,871.63,14.01
02-10-2025 16:46:22.130,871.29,13.98
02-10-2025 16:46:23.132,871.12,13.97
02-10-2025 16:46:24.133,871.36,13.97
02-10-2025 16:46:25.135,871.39,13.98
02-10-2025 16:46:26.137,871.30,14.01
02-10-2025 16:46:27.137,871.23,14.02
02-10-2025 16:46:28.140,871.39,14.00
02-10-2025 16:46:29.140,871.63,14.00
02-10-2025 16:46:30.142,871.55,13.97
02-10-2025 16:46:31.145,871.28,13.96
02-10-2025 16:46:32.148,871.47,13.98
02-10-2025 16:46:33.149,871.47,13.97
02-10-2025 16:46:34.152,871.68,13.97
02-10-2025 16:46:35.154,871.55,13.95
02-10-2025 16:46:36.156,870.99,13.95
02-10-2025 16:46:37.159,871.03,13.94
02-10-2025 16:46:38.163,871.31,13.96
02-10-2025 16:46:39.165,871.19,13.97
02-10-2025 16:46:40.170,871.15,13.99
02-10-2025 16:46:41.176,870.96,13.99
02-10-2025 16:46:42.178,870.95,13.96
02-10-2025 16:46:43.183,870.55,13.96
02-10-2025 16:46:44.185,870.22,13.93
02-10-2025 16:46:45.186,870.54,13.94
02-10-2025 16:46:46.187,870.39,13.95
02-10-2025 16:46:47.188,870.67,13.95
02-10-2025 16:46:48.191,871.43,13.95
02-10-2025 16:46:49.193,871.61,13.94
02-10-2025 16:46:50.196,871.66,13.93
02-10-2025 16:46:51.198,871.69,13.93
02-10-2025 16:46:52.199,872.09,13.94
02-10-2025 16:46:53.203,871.44,13.95
02-10-2025 16:46:54.206,871.37,13.95
02-10-2025 16:46:55.208,871.40,13.94
02-10-2025 16:46:56.221,871.77,13.92
02-10-2025 16:46:57.224,871.48,13.90
02-10-2025 16:46:58.225,870.85,13.90
02-10-2025 16:46:59.228,870.73,13.89
02-10-2025 16:47:00.230,870.86,13.89
02-10-2025 16:47:01.231,871.20,13.90
02-10-2025 16:47:02.232,870.92,13.89
02-10-2025 16:47:03.237,871.16,13.90
02-10-2025 16:47:04.238,871.41,13.90
02-10-2025 16:47:05.241,871.18,13.92
02-10-2025 16:47:06.244,870.88,13.92
02-10-2025 16:47:07.246,870.61,13.91
02-10-2025 16:47:08.254,870.22,13.91
02-10-2025 16:47:09.268,870.20,13.88
02-10-2025 16:47:10.269,870.22,13.86
02-10-2025 16:47:11.272,870.12,13.87
02-10-2025 16:47:12.275,869.86,13.87
02-10-2025 16:47:13.291,870.07,13.88
02-10-2025 16:47:14.305,870.06,13.86
02-10-2025 16:47:15.307,870.10,13.85
02-10-2025 16:47:16.309,869.80,13.85
02-10-2025 16:47:17.321,869.38,13.84
02-10-2025 16:47:18.325,869.18,13.87
02-10-2025 16:47:19.327,869.77,13.89
02-10-2025 16:47:20.333,870.29,13.85
02-10-2025 16:47:21.336,870.10,13.85
02-10-2025 16:47:22.340,869.66,13.83
02-10-2025 16:47:23.344,869.28,13.82
02-10-2025 16:47:24.347,870.38,13.85
02-10-2025 16:47:25.349,869.89,13.85
02-10-2025 16:47:26.352,869.81,13.84
02-10-2025 16:47:27.354,869.87,13.82
02-10-2025 16:47:28.357,869.22,13.80
02-10-2025 16:47:29.358,869.32,13.80
02-10-2025 16:47:30.362,869.86,13.82
02-10-2025 16:47:31.365,869.54,13.82
02-10-2025 16:47:32.367,869.19,13.83
02-10-2025 16:47:33.371,869.36,13.82
02-10-2025 16:47:34.373,869.78,13.81
02-10-2025 16:47:35.374,869.70,13.78
02-10-2025 16:47:36.378,869.72,13.78
02-10-2025 16:47:37.379,869.33,13.80
02-10-2025 16:47:38.383,868.79,13.81
02-10-2025 16:47:39.386,869.15,13.82
02-10-2025 16:47:40.386,869.49,13.82
02-10-2025 16:47:41.388,869.13,13.82
02-10-2025 16:47:42.391,869.25,13.80
02-10-2025 16:47:43.395,869.35,13.79
02-10-2025 16:47:44.396,869.65,13.79
02-10-2025 16:47:45.398,869.61,13.79
02-10-2025 16:47:46.401,869.71,13.80
02-10-2025 16:47:47.409,869.45,13.79
02-10-2025 16:47:48.412,869.34,13.78
02-10-2025 16:47:49.415,869.12,13.77
02-10-2025 16:47:50.424,869.27,13.79
02-10-2025 16:47:51.427,869.22,13.78
02-10-2025 16:47:52.429,869.47,13.78
02-10-2025 16:47:53.432,869.58,13.77
02-10-2025 16:47:54.435,869.29,13.75
02-10-2025 16:47:55.439,868.94,13.78
02-10-2025 16:47:56.442,868.98,13.77
02-10-2025 16:47:57.443,868.61,13.77
02-10-2025 16:47:58.446,868.87,13.77
02-10-2025 16:47:59.453,869.04,13.76
02-10-2025 16:48:00.455,869.56,13.76
02-10-2025 16:48:01.457,869.26,13.76
02-10-2025 16:48:02.459,869.06,13.75
02-10-2025 16:48:03.460,868.89,13.73
02-10-2025 16:48:04.471,869.39,13.73
02-10-2025 16:48:05.484,869.51,13.73
02-10-2025 16:48:06.488,869.60,13.73
02-10-2025 16:48:07.489,869.47,13.73
02-10-2025 16:48:08.499,869.88,13.71
02-10-2025 16:48:09.502,869.54,13.69
02-10-2025 16:48:10.506,868.83,13.67
02-10-2025 16:48:11.509,868.33,13.67
02-10-2025 16:48:12.513,868.13,13.68
02-10-2025 16:48:13.516,868.23,13.70
02-10-2025 16:48:14.520,868.43,13.70
02-10-2025 16:48:15.523,868.53,13.70
02-10-2025 16:48:16.525,868.28,13.71
02-10-2025 16:48:17.526,867.94,13.68
02-10-2025 16:48:18.538,868.07,13.70
02-10-2025 16:48:19.542,867.76,13.70
02-10-2025 16:48:20.543,867.79,13.70
02-10-2025 16:48:21.545,867.45,13.71
02-10-2025 16:48:22.547,867.82,13.69
02-10-2025 16:48:23.558,868.00,13.71
02-10-2025 16:48:24.560,867.77,13.71
02-10-2025 16:48:25.561,867.77,13.70
02-10-2025 16:48:26.561,867.99,13.70
02-10-2025 16:48:27.561,867.55,13.67
02-10-2025 16:48:28.563,868.05,13.69
02-10-2025 16:48:29.573,868.65,13.67
02-10-2025 16:48:30.575,868.73,13.69
02-10-2025 16:48:31.575,868.32,13.69
02-10-2025 16:48:32.577,868.19,13.67
02-10-2025 16:48:33.580,867.80,13.70
02-10-2025 16:48:34.581,867.87,13.69
02-10-2025 16:48:35.586,867.84,13.68
02-10-2025 16:48:36.589,867.74,13.68
02-10-2025 16:48:37.591,868.33,13.66
02-10-2025 16:48:38.595,868.41,13.66
02-10-2025 16:48:39.598,868.27,13.66
02-10-2025 16:48:40.599,868.20,13.67
02-10-2025 16:48:41.601,867.23,13.67
02-10-2025 16:48:42.603,867.04,13.67
02-10-2025 16:48:43.605,867.48,13.67
02-10-2025 16:48:44.617,868.03,13.66
02-10-2025 16:48:45.620,867.84,13.66
02-10-2025 16:48:46.621,867.28,13.64
02-10-2025 16:48:47.623,867.04,13.64
02-10-2025 16:48:48.625,866.92,13.65
02-10-2025 16:48:49.626,867.26,13.66
02-10-2025 16:48:50.628,866.91,13.64
02-10-2025 16:48:51.634,867.44,13.64
02-10-2025 16:48:52.644,868.08,13.63
02-10-2025 16:48:53.644,867.98,13.60
02-10-2025 16:48:54.647,867.94,13.63
02-10-2025 16:48:55.655,867.70,13.63
02-10-2025 16:48:56.656,867.38,13.64
02-10-2025 16:48:57.659,867.65,13.65
02-10-2025 16:48:58.664,867.10,13.64
02-10-2025 16:48:59.666,867.20,13.62
02-10-2025 16:49:00.671,867.40,13.60
02-10-2025 16:49:01.683,867.34,13.59
02-10-2025 16:49:02.685,867.56,13.60
02-10-2025 16:49:03.686,867.49,13.61
02-10-2025 16:49:04.688,867.73,13.61
02-10-2025 16:49:05.689,868.09,13.62
02-10-2025 16:49:06.691,867.71,13.60
02-10-2025 16:49:07.701,867.87,13.58
02-10-2025 16:49:08.709,868.53,13.59
02-10-2025 16:49:09.709,868.05,13.57
02-10-2025 16:49:10.711,867.64,13.59
02-10-2025 16:49:11.711,867.61,13.59
02-10-2025 16:49:12.712,868.07,13.57
02-10-2025 16:49:13.713,867.63,13.58
02-10-2025 16:49:14.716,867.34,13.57
02-10-2025 16:49:15.719,867.45,13.57
02-10-2025 16:49:16.720,868.20,13.55
02-10-2025 16:49:17.722,868.74,13.54
02-10-2025 16:49:18.725,869.28,13.54
02-10-2025 16:49:19.728,868.86,13.54
02-10-2025 16:49:20.734,868.35,13.54
02-10-2025 16:49:21.736,868.13,13.53
02-10-2025 16:49:22.738,867.95,13.54
02-10-2025 16:49:23.739,867.49,13.53
02-10-2025 16:49:24.743,867.94,13.53
02-10-2025 16:49:25.746,868.17,13.53
02-10-2025 16:49:26.747,868.32,13.52
02-10-2025 16:49:27.750,868.31,13.53
02-10-2025 16:49:28.754,868.33,13.53
02-10-2025 16:49:29.755,867.82,13.53
02-10-2025 16:49:30.756,868.14,13.53
02-10-2025 16:49:31.757,868.48,13.53
02-10-2025 16:49:32.758,868.63,13.53
02-10-2025 16:49:33.761,868.69,13.53
02-10-2025 16:49:34.765,868.56,13.52
02-10-2025 16:49:35.766,868.68,13.51
02-10-2025 16:49:36.767,868.26,13.50
02-10-2025 16:49:37.771,868.20,13.52
02-10-2025 16:49:38.774,868.28,13.52
02-10-2025 16:49:39.775,868.68,13.52
02-10-2025 16:49:40.776,868.43,13.51
02-10-2025 16:49:41.781,868.60,13.49
02-10-2025 16:49:42.784,868.35,13.48
02-10-2025 16:49:43.786,868.46,13.50
02-10-2025 16:49:44.793,868.34,13.50
02-10-2025 16:49:45.793,868.43,13.53
02-10-2025 16:49:46.794,868.15,13.53
02-10-2025 16:49:47.797,868.08,13.53
02-10-2025 16:49:48.799,867.86,13.51
02-10-2025 16:49:49.800,867.41,13.50
02-10-2025 16:49:50.802,867.12,13.50
02-10-2025 16:49:51.803,867.40,13.50
02-10-2025 16:49:52.805,867.54,13.49
02-10-2025 16:49:53.808,867.69,13.50
02-10-2025 16:49:54.813,867.70,13.49
02-10-2025 16:49:55.819,867.46,13.47
02-10-2025 16:49:56.821,867.73,13.47
02-10-2025 16:49:57.824,867.53,13.47
02-10-2025 16:49:58.832,867.44,13.46
02-10-2025 16:49:59.838,867.75,13.48
02-10-2025 16:50:00.840,867.47,13.50
02-10-2025 16:50:01.843,867.75,13.50
02-10-2025 16:50:02.854,867.44,13.50
02-10-2025 16:50:03.865,867.35,13.48
02-10-2025 16:50:04.866,867.34,13.48
02-10-2025 16:50:05.869,867.27,13.49
02-10-2025 16:50:06.871,867.28,13.48
02-10-2025 16:50:07.880,867.31,13.50
02-10-2025 16:50:08.882,867.08,13.49
02-10-2025 16:50:09.884,867.06,13.50
02-10-2025 16:50:10.887,866.68,13.49
02-10-2025 16:50:11.890,866.90,13.47
02-10-2025 16:50:12.892,866.94,13.46
02-10-2025 16:50:13.893,866.85,13.46
02-10-2025 16:50:14.895,866.63,13.45
02-10-2025 16:50:15.907,866.84,13.44
02-10-2025 16:50:16.907,866.60,13.46
02-10-2025 16:50:17.910,866.41,13.47
02-10-2025 16:50:18.912,866.25,13.48
02-10-2025 16:50:19.920,866.68,13.46
02-10-2025 16:50:20.922,866.85,13.45
02-10-2025 16:50:21.922,866.61,13.44
02-10-2025 16:50:22.925,866.44,13.42
02-10-2025 16:50:23.930,866.76,13.44
02-10-2025 16:50:24.931,866.69,13.43
02-10-2025 16:50:25.932,866.45,13.43
02-10-2025 16:50:26.932,866.69,13.44
02-10-2025 16:50:27.935,866.86,13.42
02-10-2025 16:50:28.940,866.57,13.43
02-10-2025 16:50:29.942,866.28,13.41
02-10-2025 16:50:30.945,866.44,13.42
02-10-2025 16:50:31.947,866.78,13.42
02-10-2025 16:50:32.957,866.88,13.41
02-10-2025 16:50:33.959,866.11,13.42
02-10-2025 16:50:34.963,865.86,13.41
02-10-2025 16:50:35.967,866.20,13.41
02-10-2025 16:50:36.970,865.58,13.42
02-10-2025 16:50:37.972,865.78,13.42
02-10-2025 16:50:38.973,865.77,13.41
02-10-2025 16:50:39.976,865.66,13.41
02-10-2025 16:50:40.982,865.59,13.43
02-10-2025 16:50:41.982,865.29,13.42
02-10-2025 16:50:42.984,865.00,13.42
02-10-2025 16:50:43.985,864.90,13.42
02-10-2025 16:50:44.986,864.99,13.41
02-10-2025 16:50:45.987,865.19,13.41
02-10-2025 16:50:46.989,865.19,13.42
02-10-2025 16:50:47.990,865.32,13.42
02-10-2025 16:50:48.997,865.35,13.42
02-10-2025 16:50:50.001,865.09,13.40
02-10-2025 16:50:51.001,864.45,13.39
02-10-2025 16:50:52.004,864.06,13.38
02-10-2025 16:50:53.007,864.22,13.37
02-10-2025 16:50:54.010,864.56,13.37
02-10-2025 16:50:55.021,864.66,13.37
02-10-2025 16:50:56.023,864.73,13.36
02-10-2025 16:50:57.025,864.43,13.36
02-10-2025 16:50:58.027,864.23,13.37
02-10-2025 16:50:59.029,864.63,13.37
02-10-2025 16:51:00.031,864.40,13.37
02-10-2025 16:51:01.032,863.65,13.37
02-10-2025 16:51:02.036,863.70,13.36
02-10-2025 16:51:03.038,864.03,13.38
02-10-2025 16:51:04.043,863.83,13.39
02-10-2025 16:51:05.045,863.49,13.39
02-10-2025 16:51:06.049,863.44,13.38
02-10-2025 16:51:07.050,863.55,13.37
02-10-2025 16:51:08.051,863.39,13.35
02-10-2025 16:51:09.053,863.25,13.36
02-10-2025 16:51:10.055,863.26,13.37
02-10-2025 16:51:11.058,863.11,13.39
02-10-2025 16:51:12.062,862.96,13.39
02-10-2025 16:51:13.064,862.66,13.39
02-10-2025 16:51:14.067,862.60,13.39
02-10-2025 16:51:15.071,862.63,13.37
02-10-2025 16:51:16.073,862.80,13.36
02-10-2025 16:51:17.074,862.93,13.35
02-10-2025 16:51:18.075,862.97,13.35
02-10-2025 16:51:19.077,862.60,13.36
02-10-2025 16:51:20.080,862.73,13.37
02-10-2025 16:51:21.090,862.54,13.39
02-10-2025 16:51:22.103,863.16,13.38
02-10-2025 16:51:23.103,862.65,13.37
02-10-2025 16:51:24.111,862.17,13.36
02-10-2025 16:51:25.114,861.90,13.34
02-10-2025 16:51:26.118,861.59,13.33
02-10-2025 16:51:27.119,861.52,13.33
02-10-2025 16:51:28.132,861.65,13.34
02-10-2025 16:51:29.138,861.67,13.35
02-10-2025 16:51:30.154,861.18,13.36
02-10-2025 16:51:31.157,861.13,13.36
02-10-2025 16:51:32.164,860.88,13.36
02-10-2025 16:51:33.167,861.18,13.37
02-10-2025 16:51:34.169,861.14,13.37
02-10-2025 16:51:35.170,861.01,13.36
02-10-2025 16:51:36.175,860.80,13.37
02-10-2025 16:51:37.177,860.88,13.37
02-10-2025 16:51:38.179,861.05,13.38
02-10-2025 16:51:39.180,860.79,13.39
02-10-2025 16:51:40.181,860.91,13.37
02-10-2025 16:51:41.188,861.18,13.38
02-10-2025 16:51:42.193,861.03,13.34
02-10-2025 16:51:43.194,860.99,13.32
02-10-2025 16:51:44.196,860.67,13.32
02-10-2025 16:51:45.199,860.94,13.30
02-10-2025 16:51:46.202,860.70,13.32
02-10-2025 16:51:47.202,860.75,13.32
02-10-2025 16:51:48.206,861.09,13.32
02-10-2025 16:51:49.207,861.04,13.32
02-10-2025 16:51:50.207,861.01,13.32
02-10-2025 16:51:51.209,861.03,13.32
02-10-2025 16:51:52.211,860.90,13.31
02-10-2025 16:51:53.213,860.97,13.32
02-10-2025 16:51:54.215,860.69,13.32
02-10-2025 16:51:55.220,860.76,13.32
02-10-2025 16:51:56.221,860.96,13.31
02-10-2025 16:51:57.223,860.97,13.32
02-10-2025 16:51:58.223,860.65,13.32
02-10-2025 16:51:59.225,860.36,13.32
02-10-2025 16:52:00.229,860.19,13.32
02-10-2025 16:52:01.230,860.20,13.32
02-10-2025 16:52:02.231,860.20,13.32
02-10-2025 16:52:03.232,860.27,13.32
02-10-2025 16:52:04.234,860.12,13.32
02-10-2025 16:52:05.235,859.56,13.31
02-10-2025 16:52:06.236,859.70,13.32
02-10-2025 16:52:07.237,859.52,13.32
02-10-2025 16:52:08.238,859.46,13.33
02-10-2025 16:52:09.242,859.62,13.34
02-10-2025 16:52:10.245,859.76,13.32
02-10-2025 16:52:11.280,860.01,13.32
02-10-2025 16:52:12.282,859.75,13.30
02-10-2025 16:52:13.283,859.55,13.28
02-10-2025 16:52:14.285,859.45,13.30
02-10-2025 16:52:15.288,859.46,13.30
02-10-2025 16:52:16.291,859.71,13.32
02-10-2025 16:52:17.293,860.01,13.32
02-10-2025 16:52:18.296,860.18,13.31
02-10-2025 16:52:19.300,859.67,13.32
02-10-2025 16:52:20.301,859.52,13.31
02-10-2025 16:52:21.303,859.24,13.32
02-10-2025 16:52:22.309,859.02,13.31
02-10-2025 16:52:23.310,858.77,13.30
02-10-2025 16:52:24.312,859.12,13.29
02-10-2025 16:52:25.313,859.16,13.28
02-10-2025 16:52:26.315,859.31,13.27
02-10-2025 16:52:27.321,859.69,13.28
02-10-2025 16:52:28.322,859.62,13.28
02-10-2025 16:52:29.325,859.20,13.26
02-10-2025 16:52:30.326,858.88,13.28
02-10-2025 16:52:31.328,859.16,13.26
02-10-2025 16:52:32.331,859.04,13.27
02-10-2025 16:52:33.334,859.05,13.27
02-10-2025 16:52:34.343,858.74,13.25
02-10-2025 16:52:35.349,858.93,13.25
02-10-2025 16:52:36.350,858.72,13.25
02-10-2025 16:52:37.351,858.33,13.25
02-10-2025 16:52:38.353,857.36,13.26
02-10-2025 16:52:39.354,857.69,13.27
02-10-2025 16:52:40.355,858.22,13.26
02-10-2025 16:52:41.357,858.35,13.27
02-10-2025 16:52:42.359,858.60,13.27
02-10-2025 16:52:43.362,858.31,13.28
02-10-2025 16:52:44.362,858.05,13.28
02-10-2025 16:52:45.373,858.12,13.27
02-10-2025 16:52:46.375,858.29,13.26
02-10-2025 16:52:47.377,858.32,13.25
02-10-2025 16:52:48.379,857.97,13.26
02-10-2025 16:52:49.399,857.34,13.25
02-10-2025 16:52:50.401,857.19,13.25
02-10-2025 16:52:51.403,857.73,13.24
02-10-2025 16:52:52.408,857.71,13.23
02-10-2025 16:52:53.410,857.99,13.26
02-10-2025 16:52:54.414,858.03,13.28
02-10-2025 16:52:55.416,858.29,13.28
02-10-2025 16:52:56.419,858.23,13.28
02-10-2025 16:52:57.421,858.22,13.28
02-10-2025 16:52:58.429,858.20,13.24
02-10-2025 16:52:59.432,858.18,13.24
02-10-2025 16:53:00.432,858.19,13.23
02-10-2025 16:53:01.436,857.90,13.24
02-10-2025 16:53:02.449,857.99,13.25
02-10-2025 16:53:03.451,857.55,13.25
02-10-2025 16:53:04.456,857.97,13.24
02-10-2025 16:53:05.461,858.01,13.24
02-10-2025 16:53:06.461,857.71,13.21
02-10-2025 16:53:07.475,857.82,13.23
02-10-2025 16:53:08.496,857.41,13.26
02-10-2025 16:53:09.498,857.60,13.26
02-10-2025 16:53:10.500,857.23,13.26
02-10-2025 16:53:11.501,856.91,13.24
02-10-2025 16:53:12.503,856.86,13.21
02-10-2025 16:53:13.506,856.99,13.21
02-10-2025 16:53:14.509,857.61,13.21
02-10-2025 16:53:15.518,857.44,13.22
02-10-2025 16:53:16.522,857.13,13.23
02-10-2025 16:53:17.524,856.33,13.23
02-10-2025 16:53:18.526,856.35,13.21
02-10-2025 16:53:19.529,856.81,13.21
02-10-2025 16:53:20.541,856.33,13.21
02-10-2025 16:53:21.543,856.09,13.20
02-10-2025 16:53:22.546,855.72,13.19
02-10-2025 16:53:23.549,855.31,13.20
02-10-2025 16:53:24.550,855.58,13.21
02-10-2025 16:53:25.553,856.20,13.23
02-10-2025 16:53:26.554,855.72,13.21
02-10-2025 16:53:27.562,856.12,13.21
02-10-2025 16:53:28.565,856.39,13.21
02-10-2025 16:53:29.566,855.85,13.21
02-10-2025 16:53:30.574,855.65,13.22
02-10-2025 16:53:31.578,855.16,13.22
02-10-2025 16:53:32.578,854.90,13.21
02-10-2025 16:53:33.581,855.03,13.21
02-10-2025 16:53:34.586,855.14,13.23
02-10-2025 16:53:35.588,855.29,13.24
02-10-2025 16:53:36.591,855.22,13.25
02-10-2025 16:53:37.591,855.06,13.24
02-10-2025 16:53:38.594,855.07,13.21
02-10-2025 16:53:39.596,855.22,13.21
02-10-2025 16:53:40.598,855.51,13.20
02-10-2025 16:53:41.599,855.46,13.20
02-10-2025 16:53:42.605,854.90,13.21
02-10-2025 16:53:43.611,854.37,13.21
02-10-2025 16:53:44.614,854.29,13.21
02-10-2025 16:53:45.615,854.60,13.21
02-10-2025 16:53:46.630,854.26,13.22
02-10-2025 16:53:47.631,854.17,13.21
02-10-2025 16:53:48.631,853.63,13.21
02-10-2025 16:53:49.634,853.61,13.21
02-10-2025 16:53:50.637,853.83,13.21
02-10-2025 16:53:51.639,853.65,13.21
02-10-2025 16:53:52.641,853.71,13.22
02-10-2025 16:53:53.643,853.79,13.21
02-10-2025 16:53:54.643,853.66,13.20
02-10-2025 16:53:55.647,852.87,13.20
02-10-2025 16:53:56.651,852.82,13.17
02-10-2025 16:53:57.653,852.79,13.16
02-10-2025 16:53:58.654,852.91,13.16
02-10-2025 16:53:59.657,853.27,13.15
02-10-2025 16:54:00.659,853.07,13.16
02-10-2025 16:54:01.660,852.89,13.17
02-10-2025 16:54:02.662,853.13,13.16
02-10-2025 16:54:03.665,852.74,13.16
02-10-2025 16:54:04.666,852.17,13.16
02-10-2025 16:54:05.668,852.52,13.16
02-10-2025 16:54:06.670,852.76,13.17
02-10-2025 16:54:07.679,852.69,13.19
02-10-2025 16:54:08.680,852.51,13.19
02-10-2025 16:54:09.682,852.47,13.19
02-10-2025 16:54:10.686,852.77,13.18
02-10-2025 16:54:11.700,853.07,13.17
02-10-2025 16:54:12.708,852.86,13.17
02-10-2025 16:54:13.710,852.36,13.17
02-10-2025 16:54:14.713,851.98,13.18
02-10-2025 16:54:15.714,852.44,13.17
02-10-2025 16:54:16.715,852.86,13.20
02-10-2025 16:54:17.718,852.93,13.18
02-10-2025 16:54:18.723,852.80,13.16
